year_month,postal_code,customer_class,total_gallons
201207,78705,Irrigation - Residential,138700.000000
201204,78754,Irrigation - Residential,0.000000
201205,78722,Irrigation - Multi-Family,0.000000
201201,78739,Irrigation - Residential,0.000000
201205,78751,Irrigation - Residential,122400.000000
201205,78717,Residential,43627000.000000
201206,78757,Irrigation - Multi-Family,61700.000000
201202,78751,Irrigation - Multi-Family,263500.000000
201206,78701,Multi-Family,14206600.000000
201204,78750,Irrigation - Multi-Family,1069100.000000
201204,78745,Multi-Family,29482300.000000
201201,78730,Multi-Family,5260500.000000
201206,78751,Irrigation - Multi-Family,341500.000000
201205,78730,Irrigation - Residential,207800.000000
201203,78721,Irrigation - Multi-Family,0.000000
201206,78759,Residential,109777000.000000
201202,78747,Multi-Family,5622100.000000
201201,78754,Residential,19553400.000000
201202,78722,Multi-Family,2278400.000000
201202,78757,Irrigation - Residential,56200.000000
201205,78759,Residential,90301600.000000
201202,78745,Irrigation - Residential,13400.000000
201202,78703,Multi-Family,11065700.000000
201203,78753,Irrigation - Multi-Family,2237200.000000
201207,78726,Residential,32939800.000000
201203,78759,Residential,48438000.000000
201201,78728,Residential,3598800.000000
201204,78751,Multi-Family,12968500.000000
201204,78749,Multi-Family,13511200.000000
201205,78704,Multi-Family,49469100.000000
201203,78729,Multi-Family,22528400.000000
201203,78724,Irrigation - Multi-Family,195500.000000
201205,78756,Irrigation - Multi-Family,62000.000000
201205,78752,Multi-Family,22008300.000000
201206,78737,Irrigation - Residential,5800.000000
201203,78752,Residential,11916600.000000
201205,78704,Irrigation - Residential,258400.000000
201206,78702,Irrigation - Multi-Family,1052000.000000
201201,78703,Irrigation - Residential,784300.000000
201201,78717,Residential,24385200.000000
201205,78741,Irrigation - Residential,20900.000000
201205,78757,Multi-Family,14073800.000000
201203,78749,Multi-Family,14891400.000000
201204,78738,Residential,7400.000000
201206,78749,Multi-Family,14455300.000000
201207,78701,Irrigation - Multi-Family,565300.000000
201202,78703,Irrigation - Multi-Family,311500.000000
201205,78652,Residential,908900.000000
201203,78730,Multi-Family,4232300.000000
201201,78617,Residential,19845900.000000
201205,78726,Irrigation - Multi-Family,3665800.000000
201202,78613,Multi-Family,20700.000000
201205,78703,Irrigation - Residential,1701700.000000
201202,78727,Residential,30542000.000000
201203,78704,Multi-Family,46072300.000000
201201,78745,Multi-Family,34553100.000000
201201,78747,Irrigation - Residential,79900.000000
201203,78749,Irrigation - Multi-Family,3595400.000000
201206,78742,Multi-Family,343500.000000
201205,78617,Residential,21021500.000000
201204,78756,Irrigation - Multi-Family,56300.000000
201202,78749,Multi-Family,11642000.000000
201201,78724,Irrigation - Residential,18800.000000
201205,78725,Multi-Family,280100.000000
201206,78753,Irrigation - Residential,200.000000
201204,78745,Residential,72695900.000000
201202,78717,Residential,19562600.000000
201205,78738,Residential,9700.000000
201204,78702,Residential,26592100.000000
201204,78722,Multi-Family,2374100.000000
201206,78754,Irrigation - Residential,0.000000
201201,78737,Residential,4796500.000000
201204,78730,Irrigation - Multi-Family,1550400.000000
201203,78737,Irrigation - Residential,3700.000000
201203,78745,Multi-Family,33142100.000000
201204,78721,Irrigation - Residential,1900.000000
201204,78726,Irrigation - Multi-Family,2657700.000000
201202,78617,Residential,17449100.000000
201201,78730,Irrigation - Multi-Family,502200.000000
201204,78750,Multi-Family,10858300.000000
201202,78736,Multi-Family,2381700.000000
201204,78758,Irrigation - Multi-Family,1756600.000000
201207,78736,Irrigation - Residential,23200.000000
201205,78747,Multi-Family,7477000.000000
201205,78719,Residential,1830400.000000
201205,78727,Irrigation - Residential,7900.000000
201204,78705,Multi-Family,30669400.000000
201203,78723,Irrigation - Multi-Family,160300.000000
201206,78704,Irrigation - Multi-Family,2197800.000000
201206,78758,Multi-Family,49669000.000000
201204,78749,Irrigation - Residential,3500.000000
201203,78726,Residential,12496300.000000
201201,78739,Residential,31858900.000000
201204,78613,Multi-Family,25500.000000
201201,78728,Multi-Family,7676600.000000
201207,78725,Residential,3041200.000000
201201,78730,Residential,5074900.000000
201206,78736,Multi-Family,2759000.000000
201202,78758,Irrigation - Multi-Family,778900.000000
201201,78751,Irrigation - Multi-Family,236800.000000
201202,78752,Residential,11475100.000000
201202,78721,Residential,13096000.000000
201203,78753,Multi-Family,50276400.000000
